district	district_autocomplete	provider	provider_id	location	location_id	distance_from_center	scale_info
71155  ALTDORF	71155 Altdorf, Germany	NA	NA	NA	NA	NA	1000 m
71032  BOEBLINGEN	71032 Böblingen, Germany	NA	NA	NA	NA	NA	1000 m
71149  BONDORF	71149 Bondorf, Germany	NA	NA	NA	NA	NA	1000 m
75392  DECKENPFRONN	75392 Deckenpfronn, Germany	NA	NA	NA	NA	NA	1000 m
71139  EHNINGEN	71139 Ehningen, Germany	NA	NA	NA	NA	NA	1000 m
71116  GAERTRINGEN	71116 Gärtringen, Germany	stadtmobil Stuttgart	125130000	Gärtringen Bahnhof	125133781	400	1000 m
71126  GAEUFELDEN	71126 Gäufelden, Germany	NA	NA	NA	NA	NA	1000 m
71120  GRAFENAU	71120 Grafenau, Germany	NA	NA	NA	NA	NA	1000 m
71083  HERRENBERG	71083 Herrenberg, Germany	stadtmobil Stuttgart	125130000	Hasenplatz	125133174	900	1000 m
71083  HERRENBERG	71083 Herrenberg, Germany	stadtmobil Stuttgart	125130000	Herrenberg Bahnhof (P+R-Anlage Süd)	125132585	1400	1000 m
71157  HILDRIZHAUSEN	71157 Hildrizhausen, Germany	NA	NA	NA	NA	NA	1000 m
71088  HOLZGERLINGEN	71088 Holzgerlingen, Germany	NA	NA	NA	NA	NA	1000 m
71131  JETTINGEN	71131 Jettingen, Germany	NA	NA	NA	NA	NA	1000 m
71229  LEONBERG	71229 Leonberg, Germany	stadtmobil Stuttgart	125130000	Leonberg Bahnhof	125133929	400	1000 m
71106  MAGSTADT	71106 Magstadt, Germany	NA	NA	NA	NA	NA	1000 m
71159  MOETZINGEN	71159 Mötzingen, Germany	NA	NA	NA	NA	NA	1000 m
71154  NUFRINGEN	71154 Nufringen, Germany	NA	NA	NA	NA	NA	1000 m
71272  RENNINGEN	71272 Renningen, Germany	CarSharing Renningen	120670000	Renningen Goethestraße	120670020	400	1000 m
71272  RENNINGEN	71272 Renningen, Germany	CarSharing Renningen	120670000	Renningen Bahnhof	120670070	400	1000 m
71272  RENNINGEN	71272 Renningen, Germany	CarSharing Renningen	120670000	Renningen Wiesenstraße	120670030	500	1000 m
71272  RENNINGEN	71272 Renningen, Germany	CarSharing Renningen	120670000	Renningen Rutesheimer Straße	120670010	600	1000 m
71272  RENNINGEN	71272 Renningen, Germany	CarSharing Renningen	120670000	Renningen Südbahnhof	120670040	900	1000 m
71272  RENNINGEN	71272 Renningen, Germany	CarSharing Renningen	120670000	Renningen Am Schlaggraben	120670050	900	1000 m
71272  RENNINGEN	71272 Renningen, Germany	CarSharing Renningen	120670000	Renningen Merowinger Weg	120670060	900	1000 m
71272  RENNINGEN	71272 Renningen, Germany	CarSharing Renningen	120670000	Malmsheim Strohgäustraße	120670130	1200	1000 m
71272  RENNINGEN	71272 Renningen, Germany	CarSharing Renningen	120670000	Malmsheim Nelkenstraße	120670120	1300	1000 m
71272  RENNINGEN	71272 Renningen, Germany	CarSharing Renningen	120670000	Malmsheim Amselweg	120670110	1700	1000 m
71277  RUTESHEIM	71277 Rutesheim, Germany	NA	NA	NA	NA	NA	1000 m
71101  SCHOENAICH	71101 Schönaich, Germany	NA	NA	NA	NA	NA	1000 m
71063  SINDELFINGEN	71063 Sindelfingen, Germany	stadtmobil Stuttgart	125130000	Sindelfingen Bahnhof	125130119	1000	1000 m
71144  STEINENBRONN	71144 Steinenbronn, Germany	NA	NA	NA	NA	NA	1000 m
71111  WALDENBUCH	71111 Waldenbuch, Germany	stadtmobil Stuttgart	125130000	Ritter-Sport (Verwaltung)	125132370	1100	1000 m
71263  WEIL DER STADT	71263 Weil der Stadt, Germany	CarSharing Weil der Stadt	180010000	Weil der Stadt Franz-Hammer-Straße	180010160	900	1000 m
71263  WEIL DER STADT	71263 Weil der Stadt, Germany	CarSharing Weil der Stadt	180010000	Zeppelinstraße	180010070	1100	1000 m
71263  WEIL DER STADT	71263 Weil der Stadt, Germany	CarSharing Weil der Stadt	180010000	Weil der Stadt Zeppelinstraße	180010150	1100	1000 m
71263  WEIL DER STADT	71263 Weil der Stadt, Germany	CarSharing Weil der Stadt	180010000	Weil der Stadt Schießrainweg	180010140	1400	1000 m
71263  WEIL DER STADT	71263 Weil der Stadt, Germany	CarSharing Weil der Stadt	180010000	Merklingen Katharinenstraße	180010170	1800	1000 m
71263  WEIL DER STADT	71263 Weil der Stadt, Germany	CarSharing Weil der Stadt	180010000	Gartenstraße	180010080	1800	1000 m
71093  WEIL IM SCHOENBUCH	71093 Weil im Schönbuch, Germany	NA	NA	NA	NA	NA	1000 m
71287  WEISSACH	71287 Weissach, Germany	NA	NA	NA	NA	NA	1000 m
72631  AICHTAL	72631 Aichtal, Germany	NA	NA	NA	NA	NA	1000 m
73773  AICHWALD	73773 Aichwald, Germany	NA	NA	NA	NA	NA	1000 m
73776  ALTBACH	73776 Altbach, Germany	NA	NA	NA	NA	NA	1000 m
72655  ALTDORF	72655 Altdorf, Germany	NA	NA	NA	NA	NA	1000 m
72657  ALTENRIET	72657 Altenriet, Germany	NA	NA	NA	NA	NA	1000 m
73666  BALTMANNSWEILER	73666 Baltmannsweiler, Germany	NA	NA	NA	NA	NA	1000 m
72658  BEMPFLINGEN	72658 Bempflingen, Germany	NA	NA	NA	NA	NA	1000 m
72660  BEUREN	72660 Beuren, Germany	NA	NA	NA	NA	NA	1000 m
73266  BISSINGEN AN DER TECK	73266 Bissingen, Germany	NA	NA	NA	NA	NA	1000 m
73779  DEIZISAU	73779 Deizisau, Germany	stadtmobil Stuttgart	125130000	Plochingen Bahnhof	125134471	1900	1000 m
73770  DENKENDORF	73770 Denkendorf, Germany	NA	NA	NA	NA	NA	1000 m
73265  DETTINGEN UNTER TECK	73265 Dettingen unter Teck, Germany	NA	NA	NA	NA	NA	1000 m
73268  ERKENBRECHTSWEILER	73268 Erkenbrechtsweiler, Germany	NA	NA	NA	NA	NA	1000 m
73728  ESSLINGEN AM NECKAR	73728 Esslingen, Germany	stadtmobil Stuttgart	125130000	Palmscher Park	125132155	1300	1000 m
73728  ESSLINGEN AM NECKAR	73728 Esslingen, Germany	stadtmobil Stuttgart	125130000	Oberesslingen Bahnhof	125133108	1700	1000 m
73728  ESSLINGEN AM NECKAR	73728 Esslingen, Germany	stadtmobil Stuttgart	125130000	Diakonissenweg	125132156	1900	1000 m
73728  ESSLINGEN AM NECKAR	73728 Esslingen, Germany	stadtmobil Stuttgart	125130000	Vogelsang (Pliensauturm)	125132162	100	1000 m
73728  ESSLINGEN AM NECKAR	73728 Esslingen, Germany	stadtmobil Stuttgart	125130000	Ottilienplatz	125133794	400	1000 m
73728  ESSLINGEN AM NECKAR	73728 Esslingen, Germany	stadtmobil Stuttgart	125130000	Schelztorstraße	125134523	500	1000 m
73728  ESSLINGEN AM NECKAR	73728 Esslingen, Germany	stadtmobil Stuttgart	125130000	Kleiner Markt	125132161	600	1000 m
73728  ESSLINGEN AM NECKAR	73728 Esslingen, Germany	stadtmobil Stuttgart	125130000	Charlottenplatz	125133197	700	1000 m
73728  ESSLINGEN AM NECKAR	73728 Esslingen, Germany	stadtmobil Stuttgart	125130000	Katharinenstaffel	125132371	700	1000 m
73728  ESSLINGEN AM NECKAR	73728 Esslingen, Germany	stadtmobil Stuttgart	125130000	Uhlandstraße	125133417	700	1000 m
73728  ESSLINGEN AM NECKAR	73728 Esslingen, Germany	stadtmobil Stuttgart	125130000	Urbanstraße	125134524	800	1000 m
73728  ESSLINGEN AM NECKAR	73728 Esslingen, Germany	stadtmobil Stuttgart	125130000	Heilbronner Str.	125132159	1000	1000 m
73728  ESSLINGEN AM NECKAR	73728 Esslingen, Germany	stadtmobil Stuttgart	125130000	Weilstraße	125132160	1200	1000 m
70794  FILDERSTADT	70794 Filderstadt, Germany	stadtmobil Stuttgart	125130000	Filderstadt Bahnhof	125132517	1700	1000 m
72636  FRICKENHAUSEN	72636 Frickenhausen, Germany	NA	NA	NA	NA	NA	1000 m
72663  GROSSBETTLINGEN	72663 Großbettlingen, Germany	NA	NA	NA	NA	NA	1000 m
