"RENTAL_ZONE_HAL_ID";"RENTAL_ZONE_HAL_SRC";"NAME";"CODE";"TYPE";"CITY";"COUNTRY";"LATITUDE";"LONGITUDE";"POI_AIRPORT_X";"POI_LONG_DISTANCE_TRAINS_X";"POI_SUBURBAN_TRAINS_X";"POI_UNDERGROUND_X";"ACTIVE_X";"COMPANY";"COMPANY_GROUP"
"402462";"Station";"Scandic Hotel";"SCA";"stationbased";"Berlin";"Deutschland";"52,504460756801480";"13,374717235565186";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
"402464";"Station";"The Ritz-Carlton";"RITZ";"stationbased";"Berlin";"Deutschland";"52,509990227446885";"13,375629186630249";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
"402481";"Station";"Dasselstraße 39";"DAS39";"stationbased";"Köln";"Deutschland";"50,929574953845380";"6,934862136840820";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
"402520";"Station";"Zülpicher Wall 50";"ZUW50";"stationbased";"Köln";"Deutschland";"50,929547905362780";"6,933231353759766";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
"402545";"Station";"Moltkestraße";"MOL";"stationbased";"Köln";"Deutschland";"50,937256086365170";"6,932244300842285";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
"402546";"Station";"IKEA";"IKEA";"stationbased";"Berlin";"Deutschland";"52,534471852912920";"13,510769605636597";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
"402667";"Station";"Sredzkistraße";"SRE";"stationbased";"Berlin";"Deutschland";"52,537989322666580";"13,412659764289856";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402671";"Station";"Heinrich-Roller-Straße";"HRS";"stationbased";"Berlin";"Deutschland";"52,530903519393405";"13,422342538833618";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
"402672";"Station";"Kanzowstraße";"KAN";"stationbased";"Berlin";"Deutschland";"52,545007105295284";"13,427084684371948";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402673";"Station";"U-Bahnhof Senefelder Platz";"SEN";"stationbased";"Berlin";"Deutschland";"52,531661590186240";"13,412632271647453";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402674";"Station";"Christinenstraße";"CHR";"stationbased";"Berlin";"Deutschland";"52,531388124911125";"13,409093767404556";"Nein";"Nein";"Nein";"Nein";"Ja";"Flinkster (Endkd.)";"DB Fuhrpark"
"402675";"Station";"Kollwitzstraße";"KOLL";"stationbased";"Berlin";"Deutschland";"52,536771455129376";"13,418421149253845";"Nein";"Nein";"Nein";"Nein";"Nein";"Flinkster (Endkd.)";"DB Fuhrpark"
